,CO
2005-03-08 10:00:00,1232.9596
2005-03-08 11:00:00,1179.2332
2005-03-08 12:00:00,1116.2577
2005-03-08 13:00:00,1062.686
2005-03-08 14:00:00,1024.9475
2005-03-08 15:00:00,1024.8623
2005-03-08 16:00:00,1054.4602
2005-03-08 17:00:00,1071.9811
2005-03-08 18:00:00,1082.6196
2005-03-08 19:00:00,1078.116
2005-03-08 20:00:00,1058.3479
2005-03-08 21:00:00,1024.8551
2005-03-08 22:00:00,1009.5264
2005-03-08 23:00:00,1013.3271
2005-03-09 00:00:00,1006.80927
2005-03-09 01:00:00,987.71014
2005-03-09 02:00:00,963.6038
2005-03-09 03:00:00,950.0381
2005-03-09 04:00:00,947.7303
2005-03-09 05:00:00,954.0544
2005-03-09 06:00:00,994.6713
2005-03-09 07:00:00,1080.3574
2005-03-09 08:00:00,1179.4418
2005-03-09 09:00:00,1199.7599
2005-03-09 10:00:00,1180.35
2005-03-09 11:00:00,1158.4329
2005-03-09 12:00:00,1131.7853
2005-03-09 13:00:00,1113.896
2005-03-09 14:00:00,1113.263
2005-03-09 15:00:00,1149.4927
2005-03-09 16:00:00,1211.92
2005-03-09 17:00:00,1262.8881
2005-03-09 18:00:00,1303.2076
2005-03-09 19:00:00,1308.3143
2005-03-09 20:00:00,1288.3678
2005-03-09 21:00:00,1248.1636
2005-03-09 22:00:00,1223.7311
2005-03-09 23:00:00,1245.6895
2005-03-10 00:00:00,1286.5349
2005-03-10 01:00:00,1300.2712
2005-03-10 02:00:00,1283.0862
2005-03-10 03:00:00,1266.8793
2005-03-10 04:00:00,1268.7463
2005-03-10 05:00:00,1282.2086
2005-03-10 06:00:00,1334.9274
2005-03-10 07:00:00,1411.298
2005-03-10 08:00:00,1461.4093
2005-03-10 09:00:00,1436.5256
2005-03-10 10:00:00,1392.6793
2005-03-10 11:00:00,1359.9558
2005-03-10 12:00:00,1338.6283
2005-03-10 13:00:00,1330.7594
2005-03-10 14:00:00,1329.6592
2005-03-10 15:00:00,1346.1838
2005-03-10 16:00:00,1377.9097
2005-03-10 17:00:00,1395.6729
2005-03-10 18:00:00,1404.2626
2005-03-10 19:00:00,1391.2593
2005-03-10 20:00:00,1358.0737
2005-03-10 21:00:00,1296.0703
2005-03-10 22:00:00,1245.1295
2005-03-10 23:00:00,1231.7653
2005-03-11 00:00:00,1227.8503
2005-03-11 01:00:00,1207.33
2005-03-11 02:00:00,1172.2742
2005-03-11 03:00:00,1143.3458
2005-03-11 04:00:00,1132.1769
2005-03-11 05:00:00,1129.9541
2005-03-11 06:00:00,1153.9772
2005-03-11 07:00:00,1196.7416
2005-03-11 08:00:00,1231.819
2005-03-11 09:00:00,1220.0771
2005-03-11 10:00:00,1183.0559
2005-03-11 11:00:00,1145.8663
2005-03-11 12:00:00,1118.6472
2005-03-11 13:00:00,1102.4142
2005-03-11 14:00:00,1090.714
2005-03-11 15:00:00,1093.4757
2005-03-11 16:00:00,1116.9192
2005-03-11 17:00:00,1141.992
2005-03-11 18:00:00,1169.2046
2005-03-11 19:00:00,1177.7473
2005-03-11 20:00:00,1162.1423
2005-03-11 21:00:00,1131.353
2005-03-11 22:00:00,1115.6251
2005-03-11 23:00:00,1124.9088
2005-03-12 00:00:00,1137.7029
2005-03-12 01:00:00,1140.235
2005-03-12 02:00:00,1131.6937
2005-03-12 03:00:00,1121.2987
2005-03-12 04:00:00,1119.9655
2005-03-12 05:00:00,1127.1761
2005-03-12 06:00:00,1155.3809
2005-03-12 07:00:00,1203.7106
2005-03-12 08:00:00,1246.3827
2005-03-12 09:00:00,1238.6821
2005-03-12 10:00:00,1208.0769
2005-03-12 11:00:00,1184.6652
2005-03-12 12:00:00,1170.0529
2005-03-12 13:00:00,1160.6067
2005-03-12 14:00:00,1153.8171
2005-03-12 15:00:00,1157.5651
2005-03-12 16:00:00,1178.4109
2005-03-12 17:00:00,1198.5668
2005-03-12 18:00:00,1210.2144
2005-03-12 19:00:00,1200.9591
2005-03-12 20:00:00,1179.0316
2005-03-12 21:00:00,1156.6664
2005-03-12 22:00:00,1151.1694
2005-03-12 23:00:00,1165.391
2005-03-13 00:00:00,1179.2455
2005-03-13 01:00:00,1177.9341
2005-03-13 02:00:00,1162.4922
2005-03-13 03:00:00,1144.6755
2005-03-13 04:00:00,1134.0957
2005-03-13 05:00:00,1130.7599
2005-03-13 06:00:00,1148.5155
2005-03-13 07:00:00,1187.4534
2005-03-13 08:00:00,1227.3416
2005-03-13 09:00:00,1235.9548
2005-03-13 10:00:00,1224.4187
2005-03-13 11:00:00,1212.4032
2005-03-13 12:00:00,1205.0402
2005-03-13 13:00:00,1202.1265
2005-03-13 14:00:00,1203.6351
2005-03-13 15:00:00,1217.7634
2005-03-13 16:00:00,1243.701
2005-03-13 17:00:00,1262.2697
2005-03-13 18:00:00,1274.2152
2005-03-13 19:00:00,1274.9927
2005-03-13 20:00:00,1267.8651
2005-03-13 21:00:00,1256.9343
2005-03-13 22:00:00,1260.1619
2005-03-13 23:00:00,1285.8655
2005-03-14 00:00:00,1309.3687
2005-03-14 01:00:00,1309.4061
2005-03-14 02:00:00,1293.8921
2005-03-14 03:00:00,1281.9192
2005-03-14 04:00:00,1283.1635
2005-03-14 05:00:00,1293.7921
2005-03-14 06:00:00,1322.9636
2005-03-14 07:00:00,1364.3385
2005-03-14 08:00:00,1396.9492
2005-03-14 09:00:00,1398.7152
2005-03-14 10:00:00,1382.6488
2005-03-14 11:00:00,1365.9469
2005-03-14 12:00:00,1349.5133
2005-03-14 13:00:00,1332.5442
2005-03-14 14:00:00,1320.9955
2005-03-14 15:00:00,1326.6903
2005-03-14 16:00:00,1347.5431
2005-03-14 17:00:00,1364.8275
2005-03-14 18:00:00,1377.3915
2005-03-14 19:00:00,1376.6104
2005-03-14 20:00:00,1362.1316
2005-03-14 21:00:00,1341.9987
2005-03-14 22:00:00,1333.0939
2005-03-14 23:00:00,1339.5105
2005-03-15 00:00:00,1341.838
2005-03-15 01:00:00,1328.8187
2005-03-15 02:00:00,1307.3688
2005-03-15 03:00:00,1290.7887
2005-03-15 04:00:00,1287.9937
2005-03-15 05:00:00,1298.5261
2005-03-15 06:00:00,1332.093
2005-03-15 07:00:00,1382.4185
2005-03-15 08:00:00,1422.472
2005-03-15 09:00:00,1424.7144
2005-03-15 10:00:00,1403.3721
2005-03-15 11:00:00,1379.074
2005-03-15 12:00:00,1356.0726
2005-03-15 13:00:00,1336.5564
2005-03-15 14:00:00,1325.2687
2005-03-15 15:00:00,1327.4037
2005-03-15 16:00:00,1341.492
2005-03-15 17:00:00,1356.6333
2005-03-15 18:00:00,1369.3735
2005-03-15 19:00:00,1366.2596
2005-03-15 20:00:00,1345.7147
2005-03-15 21:00:00,1315.2651
2005-03-15 22:00:00,1291.1278
2005-03-15 23:00:00,1279.7484
2005-03-16 00:00:00,1267.5428
2005-03-16 01:00:00,1246.764
2005-03-16 02:00:00,1222.7021
2005-03-16 03:00:00,1205.1676
2005-03-16 04:00:00,1201.2803
2005-03-16 05:00:00,1210.4591
2005-03-16 06:00:00,1238.5568
2005-03-16 07:00:00,1278.5868
2005-03-16 08:00:00,1307.0895
2005-03-16 09:00:00,1304.6132
2005-03-16 10:00:00,1282.0637
2005-03-16 11:00:00,1255.6201
2005-03-16 12:00:00,1231.6611
2005-03-16 13:00:00,1213.4753
2005-03-16 14:00:00,1204.9847
2005-03-16 15:00:00,1210.5879
2005-03-16 16:00:00,1227.4551
2005-03-16 17:00:00,1242.0258
2005-03-16 18:00:00,1250.1681
2005-03-16 19:00:00,1245.6871
2005-03-16 20:00:00,1228.4275
2005-03-16 21:00:00,1206.6051
2005-03-16 22:00:00,1193.8015
2005-03-16 23:00:00,1193.211
2005-03-17 00:00:00,1192.1631
2005-03-17 01:00:00,1183.9336
2005-03-17 02:00:00,1173.1058
2005-03-17 03:00:00,1167.084
2005-03-17 04:00:00,1171.186
2005-03-17 05:00:00,1186.93
2005-03-17 06:00:00,1221.1956
2005-03-17 07:00:00,1266.5708
2005-03-17 08:00:00,1300.5602
2005-03-17 09:00:00,1306.2096
2005-03-17 10:00:00,1292.4806
2005-03-17 11:00:00,1275.2637
2005-03-17 12:00:00,1260.7351
2005-03-17 13:00:00,1251.7354
2005-03-17 14:00:00,1252.2175
2005-03-17 15:00:00,1265.2208
2005-03-17 16:00:00,1286.9348
2005-03-17 17:00:00,1305.5491
2005-03-17 18:00:00,1317.2285
2005-03-17 19:00:00,1316.4241
2005-03-17 20:00:00,1302.8218
2005-03-17 21:00:00,1284.027
2005-03-17 22:00:00,1272.3641
2005-03-17 23:00:00,1271.9735
2005-03-18 00:00:00,1272.2325
2005-03-18 01:00:00,1265.8535
2005-03-18 02:00:00,1256.6006
2005-03-18 03:00:00,1251.6882
2005-03-18 04:00:00,1256.6428
2005-03-18 05:00:00,1272.3022
2005-03-18 06:00:00,1303.6471
2005-03-18 07:00:00,1342.9885
2005-03-18 08:00:00,1368.2745
2005-03-18 09:00:00,1365.0421
2005-03-18 10:00:00,1344.8728
2005-03-18 11:00:00,1324.1859
2005-03-18 12:00:00,1307.721
2005-03-18 13:00:00,1297.0759
2005-03-18 14:00:00,1295.8186
2005-03-18 15:00:00,1305.2258
2005-03-18 16:00:00,1320.771
2005-03-18 17:00:00,1332.5742
2005-03-18 18:00:00,1337.3773
2005-03-18 19:00:00,1331.0375
2005-03-18 20:00:00,1314.3132
2005-03-18 21:00:00,1294.2953
2005-03-18 22:00:00,1281.6868
2005-03-18 23:00:00,1279.8641
2005-03-19 00:00:00,1278.9513
2005-03-19 01:00:00,1271.763
2005-03-19 02:00:00,1262.0287
2005-03-19 03:00:00,1256.443
2005-03-19 04:00:00,1259.5587
2005-03-19 05:00:00,1272.3323
2005-03-19 06:00:00,1298.2155
2005-03-19 07:00:00,1329.7812
2005-03-19 08:00:00,1349.1681
2005-03-19 09:00:00,1346.6311
2005-03-19 10:00:00,1331.0592
2005-03-19 11:00:00,1314.0388
2005-03-19 12:00:00,1299.1499
2005-03-19 13:00:00,1287.4196
2005-03-19 14:00:00,1281.8207
2005-03-19 15:00:00,1284.3519
2005-03-19 16:00:00,1292.8252
2005-03-19 17:00:00,1299.7935
2005-03-19 18:00:00,1302.331
2005-03-19 19:00:00,1296.55
2005-03-19 20:00:00,1282.0667
2005-03-19 21:00:00,1264.9436
2005-03-19 22:00:00,1253.8848
2005-03-19 23:00:00,1250.7183
2005-03-20 00:00:00,1247.3167
2005-03-20 01:00:00,1238.6647
2005-03-20 02:00:00,1228.2794
2005-03-20 03:00:00,1221.7599
2005-03-20 04:00:00,1224.0704
2005-03-20 05:00:00,1237.3043
2005-03-20 06:00:00,1263.9282
2005-03-20 07:00:00,1296.3035
2005-03-20 08:00:00,1317.7808
2005-03-20 09:00:00,1319.2805
2005-03-20 10:00:00,1307.1154
2005-03-20 11:00:00,1291.3134
2005-03-20 12:00:00,1276.131
2005-03-20 13:00:00,1263.4165
2005-03-20 14:00:00,1256.5382
2005-03-20 15:00:00,1257.6826
2005-03-20 16:00:00,1265.1763
2005-03-20 17:00:00,1272.6984
2005-03-20 18:00:00,1276.8794
2005-03-20 19:00:00,1273.7274
2005-03-20 20:00:00,1263.0082
2005-03-20 21:00:00,1250.6656
2005-03-20 22:00:00,1243.5092
2005-03-20 23:00:00,1242.086
2005-03-21 00:00:00,1239.2363
2005-03-21 01:00:00,1231.3015
2005-03-21 02:00:00,1222.5896
2005-03-21 03:00:00,1218.8906
2005-03-21 04:00:00,1224.7098
2005-03-21 05:00:00,1241.5624
2005-03-21 06:00:00,1270.7422
2005-03-21 07:00:00,1304.028
2005-03-21 08:00:00,1325.0438
2005-03-21 09:00:00,1325.8306
2005-03-21 10:00:00,1313.1758
2005-03-21 11:00:00,1297.017
2005-03-21 12:00:00,1281.7798
2005-03-21 13:00:00,1269.7601
2005-03-21 14:00:00,1264.4341
2005-03-21 15:00:00,1267.1279
2005-03-21 16:00:00,1275.4213
2005-03-21 17:00:00,1283.4282
2005-03-21 18:00:00,1287.659
2005-03-21 19:00:00,1284.6635
2005-03-21 20:00:00,1274.4274
2005-03-21 21:00:00,1262.3158
2005-03-21 22:00:00,1254.6887
2005-03-21 23:00:00,1252.3268
2005-03-22 00:00:00,1248.9314
2005-03-22 01:00:00,1241.3893
2005-03-22 02:00:00,1234.1012
2005-03-22 03:00:00,1232.8671
2005-03-22 04:00:00,1241.7635
2005-03-22 05:00:00,1261.9952
2005-03-22 06:00:00,1293.4993
2005-03-22 07:00:00,1326.9938
2005-03-22 08:00:00,1347.0863
2005-03-22 09:00:00,1347.7069
2005-03-22 10:00:00,1335.925
2005-03-22 11:00:00,1321.265
2005-03-22 12:00:00,1308.1102
2005-03-22 13:00:00,1298.485
2005-03-22 14:00:00,1295.363
2005-03-22 15:00:00,1299.6864
2005-03-22 16:00:00,1308.7614
2005-03-22 17:00:00,1316.9314
2005-03-22 18:00:00,1320.7637
2005-03-22 19:00:00,1317.2823
2005-03-22 20:00:00,1306.3043
2005-03-22 21:00:00,1292.855
2005-03-22 22:00:00,1282.8971
2005-03-22 23:00:00,1277.0354
2005-03-23 00:00:00,1270.3458
2005-03-23 01:00:00,1261.068
2005-03-23 02:00:00,1253.497
2005-03-23 03:00:00,1252.4427
2005-03-23 04:00:00,1261.2999
2005-03-23 05:00:00,1281.0697
2005-03-23 06:00:00,1310.7505
2005-03-23 07:00:00,1341.1118
2005-03-23 08:00:00,1357.9077
2005-03-23 09:00:00,1356.012
2005-03-23 10:00:00,1342.2712
2005-03-23 11:00:00,1325.675
2005-03-23 12:00:00,1310.543
2005-03-23 13:00:00,1298.8475
2005-03-23 14:00:00,1293.2372
2005-03-23 15:00:00,1294.3295
2005-03-23 16:00:00,1299.6978
2005-03-23 17:00:00,1304.6176
2005-03-23 18:00:00,1305.7734
2005-03-23 19:00:00,1300.1072
2005-03-23 20:00:00,1287.3275
2005-03-23 21:00:00,1272.1813
2005-03-23 22:00:00,1260.0778
2005-03-23 23:00:00,1251.765
2005-03-24 00:00:00,1243.5607
2005-03-24 01:00:00,1234.2712
2005-03-24 02:00:00,1227.6024
2005-03-24 03:00:00,1227.6333
2005-03-24 04:00:00,1237.2794
2005-03-24 05:00:00,1257.3036
2005-03-24 06:00:00,1286.1191
2005-03-24 07:00:00,1314.7471
2005-03-24 08:00:00,1330.1578
2005-03-24 09:00:00,1328.081
2005-03-24 10:00:00,1314.9655
2005-03-24 11:00:00,1299.2205
2005-03-24 12:00:00,1285.3251
2005-03-24 13:00:00,1275.3165
2005-03-24 14:00:00,1271.2812
2005-03-24 15:00:00,1273.2714
2005-03-24 16:00:00,1278.7891
2005-03-24 17:00:00,1283.5396
2005-03-24 18:00:00,1284.3689
2005-03-24 19:00:00,1278.9792
2005-03-24 20:00:00,1267.8247
2005-03-24 21:00:00,1255.4454
2005-03-24 22:00:00,1246.4038
2005-03-24 23:00:00,1241.0774
2005-03-25 00:00:00,1236.1804
2005-03-25 01:00:00,1230.5922
2005-03-25 02:00:00,1227.5524
2005-03-25 03:00:00,1230.7114
2005-03-25 04:00:00,1242.583
2005-03-25 05:00:00,1263.7225
2005-03-25 06:00:00,1292.0543
2005-03-25 07:00:00,1318.88
2005-03-25 08:00:00,1332.7916
2005-03-25 09:00:00,1330.8326
2005-03-25 10:00:00,1319.088
2005-03-25 11:00:00,1304.9922
2005-03-25 12:00:00,1292.5529
2005-03-25 13:00:00,1283.5673
2005-03-25 14:00:00,1279.8756
2005-03-25 15:00:00,1281.4579
2005-03-25 16:00:00,1285.9304
2005-03-25 17:00:00,1289.5602
2005-03-25 18:00:00,1289.7311
2005-03-25 19:00:00,1284.7362
2005-03-25 20:00:00,1275.1584
2005-03-25 21:00:00,1265.0798
2005-03-25 22:00:00,1258.3053
2005-03-25 23:00:00,1254.626
2005-03-26 00:00:00,1250.9011
2005-03-26 01:00:00,1246.3423
2005-03-26 02:00:00,1244.1985
2005-03-26 03:00:00,1248.0258
2005-03-26 04:00:00,1260.2672
2005-03-26 05:00:00,1281.3844
2005-03-26 06:00:00,1308.75
2005-03-26 07:00:00,1333.8033
2005-03-26 08:00:00,1346.3328
2005-03-26 09:00:00,1344.173
2005-03-26 10:00:00,1333.0659
2005-03-26 11:00:00,1319.6946
2005-03-26 12:00:00,1307.5623
2005-03-26 13:00:00,1298.226
2005-03-26 14:00:00,1293.4071
2005-03-26 15:00:00,1293.1572
2005-03-26 16:00:00,1295.4728
2005-03-26 17:00:00,1297.3059
2005-03-26 18:00:00,1296.2969
2005-03-26 19:00:00,1290.7517
2005-03-26 20:00:00,1281.048
2005-03-26 21:00:00,1270.7705
2005-03-26 22:00:00,1263.1849
2005-03-26 23:00:00,1257.9944
2005-03-27 00:00:00,1252.69
2005-03-27 01:00:00,1247.0806
2005-03-27 02:00:00,1244.5107
2005-03-27 03:00:00,1248.428
2005-03-27 04:00:00,1261.032
2005-03-27 05:00:00,1282.4437
2005-03-27 06:00:00,1309.4846
2005-03-27 07:00:00,1333.6132
2005-03-27 08:00:00,1345.3724
2005-03-27 09:00:00,1343.0774
2005-03-27 10:00:00,1332.1465
2005-03-27 11:00:00,1318.6757
2005-03-27 12:00:00,1305.9855
2005-03-27 13:00:00,1295.7223
2005-03-27 14:00:00,1289.6104
2005-03-27 15:00:00,1287.8354
2005-03-27 16:00:00,1288.741
2005-03-27 17:00:00,1289.6465
2005-03-27 18:00:00,1288.1681
2005-03-27 19:00:00,1282.6156
2005-03-27 20:00:00,1273.3383
2005-03-27 21:00:00,1263.523
2005-03-27 22:00:00,1255.943
2005-03-27 23:00:00,1250.291
2005-03-28 00:00:00,1244.6857
2005-03-28 01:00:00,1239.4203
2005-03-28 02:00:00,1237.7592
2005-03-28 03:00:00,1242.9148
2005-03-28 04:00:00,1256.7961
2005-03-28 05:00:00,1279.1796
2005-03-28 06:00:00,1306.3416
2005-03-28 07:00:00,1329.7288
2005-03-28 08:00:00,1340.6648
2005-03-28 09:00:00,1338.0225
2005-03-28 10:00:00,1327.0782
2005-03-28 11:00:00,1313.5978
2005-03-28 12:00:00,1300.8473
2005-03-28 13:00:00,1290.487
2005-03-28 14:00:00,1284.0839
2005-03-28 15:00:00,1281.7778
2005-03-28 16:00:00,1282.01
2005-03-28 17:00:00,1282.3134
2005-03-28 18:00:00,1280.4447
2005-03-28 19:00:00,1274.9258
2005-03-28 20:00:00,1266.19
2005-03-28 21:00:00,1257.0889
2005-03-28 22:00:00,1249.9325
2005-03-28 23:00:00,1244.3337
2005-03-29 00:00:00,1238.8691
2005-03-29 01:00:00,1234.2249
2005-03-29 02:00:00,1233.5956
2005-03-29 03:00:00,1239.9508
2005-03-29 04:00:00,1254.8767
2005-03-29 05:00:00,1277.7775
2005-03-29 06:00:00,1304.5214
2005-03-29 07:00:00,1326.7809
2005-03-29 08:00:00,1336.7524
2005-03-29 09:00:00,1333.8055
2005-03-29 10:00:00,1323.0784
2005-03-29 11:00:00,1310.0504
2005-03-29 12:00:00,1297.8986
2005-03-29 13:00:00,1288.264
2005-03-29 14:00:00,1282.5332
2005-03-29 15:00:00,1280.6647
2005-03-29 16:00:00,1281.0792
2005-03-29 17:00:00,1281.5442
2005-03-29 18:00:00,1280.0347
2005-03-29 19:00:00,1275.2646
2005-03-29 20:00:00,1267.677
2005-03-29 21:00:00,1259.7634
2005-03-29 22:00:00,1253.4684
2005-03-29 23:00:00,1248.4602
2005-03-30 00:00:00,1243.7683
2005-03-30 01:00:00,1240.3851
2005-03-30 02:00:00,1241.4009
2005-03-30 03:00:00,1249.5181
2005-03-30 04:00:00,1265.9363
2005-03-30 05:00:00,1289.593
2005-03-30 06:00:00,1315.9249
2005-03-30 07:00:00,1336.831
2005-03-30 08:00:00,1345.4258
2005-03-30 09:00:00,1341.7122
2005-03-30 10:00:00,1330.805
2005-03-30 11:00:00,1317.8876
2005-03-30 12:00:00,1305.9625
2005-03-30 13:00:00,1296.5624
2005-03-30 14:00:00,1290.8323
2005-03-30 15:00:00,1288.5763
2005-03-30 16:00:00,1288.2687
2005-03-30 17:00:00,1287.8732
2005-03-30 18:00:00,1285.5156
2005-03-30 19:00:00,1280.091
2005-03-30 20:00:00,1272.142
2005-03-30 21:00:00,1263.9806
2005-03-30 22:00:00,1257.3452
2005-03-30 23:00:00,1251.9983
2005-03-31 00:00:00,1247.3286
2005-03-31 01:00:00,1244.4988
2005-03-31 02:00:00,1246.3777
2005-03-31 03:00:00,1255.3378
2005-03-31 04:00:00,1272.2267
2005-03-31 05:00:00,1295.6257
2005-03-31 06:00:00,1320.7207
2005-03-31 07:00:00,1339.7668
2005-03-31 08:00:00,1346.7799
2005-03-31 09:00:00,1342.2701
2005-03-31 10:00:00,1331.1699
2005-03-31 11:00:00,1318.24
2005-03-31 12:00:00,1306.2057
2005-03-31 13:00:00,1296.4335
2005-03-31 14:00:00,1289.8824
2005-03-31 15:00:00,1286.3492
2005-03-31 16:00:00,1284.5072
2005-03-31 17:00:00,1282.6202
2005-03-31 18:00:00,1279.0759
2005-03-31 19:00:00,1273.0039
2005-03-31 20:00:00,1265.0366
2005-03-31 21:00:00,1257.2516
2005-03-31 22:00:00,1251.075
